,scene,file,split,range,0,1,2,3,4,5,6,7
104,4_station_pedestrian_bridge_4.4,146,Test,[100-140[,4968,0,0,0,0,0,0,0
105,4_station_pedestrian_bridge_4.4,146,Test,[140-180[,1209,0,0,0,0,0,0,0
106,4_station_pedestrian_bridge_4.4,146,Test,[180-220[,2403,0,0,0,0,0,0,0
107,4_station_pedestrian_bridge_4.4,146,Test,[220-1000[,930,0,0,0,0,0,0,0
108,4_station_pedestrian_bridge_4.4,131,Test,[0-20[,121648,5072,0,596,4591,0,0,0
109,4_station_pedestrian_bridge_4.4,131,Test,[20-40[,42983,11,0,0,1646,0,0,0
110,4_station_pedestrian_bridge_4.4,131,Test,[40-60[,7216,237,0,0,347,0,0,0
111,4_station_pedestrian_bridge_4.4,131,Test,[60-80[,12993,191,0,0,131,0,523,0
112,4_station_pedestrian_bridge_4.4,131,Test,[80-100[,2989,0,0,56,12,0,0,0
113,4_station_pedestrian_bridge_4.4,131,Test,[100-140[,4654,0,0,0,0,0,0,0
114,4_station_pedestrian_bridge_4.4,131,Test,[140-180[,1200,0,0,0,0,0,0,0
115,4_station_pedestrian_bridge_4.4,131,Test,[180-220[,2287,0,0,0,0,0,0,0
116,4_station_pedestrian_bridge_4.4,131,Test,[220-1000[,893,0,0,0,0,0,0,0
117,4_station_pedestrian_bridge_4.4,134,Test,[0-20[,121977,4921,0,613,4503,0,0,0
118,4_station_pedestrian_bridge_4.4,134,Test,[20-40[,42456,15,0,0,1672,0,0,0
119,4_station_pedestrian_bridge_4.4,134,Test,[40-60[,7096,263,0,0,330,0,0,0
120,4_station_pedestrian_bridge_4.4,134,Test,[60-80[,13202,188,0,0,117,0,588,0
121,4_station_pedestrian_bridge_4.4,134,Test,[80-100[,2984,0,0,45,10,0,0,0
122,4_station_pedestrian_bridge_4.4,134,Test,[100-140[,4600,0,0,0,0,0,0,0
123,4_station_pedestrian_bridge_4.4,134,Test,[140-180[,1196,0,0,0,0,0,0,0
124,4_station_pedestrian_bridge_4.4,134,Test,[180-220[,2332,0,0,0,0,0,0,0
125,4_station_pedestrian_bridge_4.4,134,Test,[220-1000[,957,0,0,0,0,0,0,0
126,4_station_pedestrian_bridge_4.4,117,Test,[0-20[,124260,2751,0,609,4534,0,0,0
127,4_station_pedestrian_bridge_4.4,117,Test,[20-40[,42377,12,0,0,1665,0,0,0
128,4_station_pedestrian_bridge_4.4,117,Test,[40-60[,7116,238,0,0,327,0,0,0
129,4_station_pedestrian_bridge_4.4,117,Test,[60-80[,13111,137,0,0,130,0,584,0
130,4_station_pedestrian_bridge_4.4,117,Test,[80-100[,2929,0,0,52,3,0,0,0
131,4_station_pedestrian_bridge_4.4,117,Test,[100-140[,4862,0,0,0,0,0,0,0
132,4_station_pedestrian_bridge_4.4,117,Test,[140-180[,1272,0,0,0,0,0,0,0
133,4_station_pedestrian_bridge_4.4,117,Test,[180-220[,2273,0,0,0,0,0,0,0
134,4_station_pedestrian_bridge_4.4,117,Test,[220-1000[,826,0,0,0,0,0,0,0
135,4_station_pedestrian_bridge_4.4,169,Test,[0-20[,122769,5623,0,619,4615,0,0,0
136,4_station_pedestrian_bridge_4.4,169,Test,[20-40[,41405,23,0,0,1633,0,0,0
137,4_station_pedestrian_bridge_4.4,169,Test,[40-60[,7249,247,0,0,356,0,0,0
138,4_station_pedestrian_bridge_4.4,169,Test,[60-80[,12933,186,0,0,144,0,615,0
139,4_station_pedestrian_bridge_4.4,169,Test,[80-100[,2858,0,0,44,14,0,0,0
140,4_station_pedestrian_bridge_4.4,169,Test,[100-140[,4820,0,0,0,0,0,0,0
141,4_station_pedestrian_bridge_4.4,169,Test,[140-180[,1191,0,0,0,0,0,0,0
142,4_station_pedestrian_bridge_4.4,169,Test,[180-220[,2305,0,0,0,0,0,0,0
143,4_station_pedestrian_bridge_4.4,169,Test,[220-1000[,873,0,0,0,0,0,0,0
144,4_station_pedestrian_bridge_4.4,158,Test,[0-20[,123871,4000,0,611,4558,0,0,0
145,4_station_pedestrian_bridge_4.4,158,Test,[20-40[,41673,13,0,0,1610,0,0,0
146,4_station_pedestrian_bridge_4.4,158,Test,[40-60[,7300,237,0,0,364,0,0,0
147,4_station_pedestrian_bridge_4.4,158,Test,[60-80[,12939,236,0,0,128,0,581,0
148,4_station_pedestrian_bridge_4.4,158,Test,[80-100[,3058,0,0,57,13,0,0,0
149,4_station_pedestrian_bridge_4.4,158,Test,[100-140[,4736,0,0,0,0,0,0,0
150,4_station_pedestrian_bridge_4.4,158,Test,[140-180[,1089,0,0,0,0,0,0,0
151,4_station_pedestrian_bridge_4.4,158,Test,[180-220[,2252,0,0,0,0,0,0,0
152,4_station_pedestrian_bridge_4.4,158,Test,[220-1000[,801,0,0,0,0,0,0,0
153,4_station_pedestrian_bridge_4.4,165,Test,[0-20[,123404,5122,0,621,4509,0,0,0
154,4_station_pedestrian_bridge_4.4,165,Test,[20-40[,41081,16,0,0,1631,0,0,0
155,4_station_pedestrian_bridge_4.4,165,Test,[40-60[,7011,245,0,0,315,0,0,0
156,4_station_pedestrian_bridge_4.4,165,Test,[60-80[,13094,201,0,0,121,0,550,0
157,4_station_pedestrian_bridge_4.4,165,Test,[80-100[,2828,0,0,53,15,0,0,0
158,4_station_pedestrian_bridge_4.4,165,Test,[100-140[,4908,0,0,0,0,0,0,0
159,4_station_pedestrian_bridge_4.4,165,Test,[140-180[,1235,0,0,0,0,0,0,0
160,4_station_pedestrian_bridge_4.4,165,Test,[180-220[,2254,0,0,0,0,0,0,0
161,4_station_pedestrian_bridge_4.4,165,Test,[220-1000[,840,0,0,0,0,0,0,0
162,4_station_pedestrian_bridge_4.4,185,Test,[0-20[,122459,5294,0,630,4521,0,0,0
163,4_station_pedestrian_bridge_4.4,185,Test,[20-40[,42118,5,0,0,1661,0,0,0
164,4_station_pedestrian_bridge_4.4,185,Test,[40-60[,6996,311,0,0,350,0,0,0
165,4_station_pedestrian_bridge_4.4,185,Test,[60-80[,12792,96,0,0,153,0,534,0
166,4_station_pedestrian_bridge_4.4,185,Test,[80-100[,3090,0,0,45,13,0,0,0
167,4_station_pedestrian_bridge_4.4,185,Test,[100-140[,4911,0,0,0,0,0,0,0
168,4_station_pedestrian_bridge_4.4,185,Test,[140-180[,1161,0,0,0,0,0,0,0
169,4_station_pedestrian_bridge_4.4,185,Test,[180-220[,2212,0,0,0,0,0,0,0
170,4_station_pedestrian_bridge_4.4,185,Test,[220-1000[,836,0,0,0,0,0,0,0
171,4_station_pedestrian_bridge_4.4,195,Test,[0-20[,122190,4270,0,592,4721,0,0,0
172,4_station_pedestrian_bridge_4.4,195,Test,[20-40[,42317,22,0,0,1598,0,0,0
173,4_station_pedestrian_bridge_4.4,195,Test,[40-60[,7315,278,0,0,303,0,0,0
174,4_station_pedestrian_bridge_4.4,195,Test,[60-80[,12952,47,0,0,141,0,621,0
175,4_station_pedestrian_bridge_4.4,195,Test,[80-100[,3030,0,0,51,16,0,0,0
176,4_station_pedestrian_bridge_4.4,195,Test,[100-140[,4929,0,0,0,0,0,0,0
177,4_station_pedestrian_bridge_4.4,195,Test,[140-180[,1152,0,0,0,0,0,0,0
178,4_station_pedestrian_bridge_4.4,195,Test,[180-220[,2315,0,0,0,0,0,0,0
179,4_station_pedestrian_bridge_4.4,195,Test,[220-1000[,940,0,0,0,0,0,0,0
180,4_station_pedestrian_bridge_4.4,163,Test,[0-20[,123301,4744,0,622,4543,0,0,0
181,4_station_pedestrian_bridge_4.4,163,Test,[20-40[,41505,18,0,0,1657,0,0,0
182,4_station_pedestrian_bridge_4.4,163,Test,[40-60[,7264,261,0,0,322,0,0,0
183,4_station_pedestrian_bridge_4.4,163,Test,[60-80[,12906,253,0,0,122,0,557,0
184,4_station_pedestrian_bridge_4.4,163,Test,[80-100[,2837,0,0,63,13,0,0,0
185,4_station_pedestrian_bridge_4.4,163,Test,[100-140[,4787,0,0,0,0,0,0,0
186,4_station_pedestrian_bridge_4.4,163,Test,[140-180[,1204,0,0,0,0,0,0,0
187,4_station_pedestrian_bridge_4.4,163,Test,[180-220[,2370,0,0,0,0,0,0,0
188,4_station_pedestrian_bridge_4.4,163,Test,[220-1000[,862,0,0,0,0,0,0,0
189,4_station_pedestrian_bridge_4.4,124,Test,[0-20[,123104,3943,0,608,4649,0,0,0
190,4_station_pedestrian_bridge_4.4,124,Test,[20-40[,42643,13,0,0,1607,0,0,0
191,4_station_pedestrian_bridge_4.4,124,Test,[40-60[,7236,247,0,0,334,0,0,0
192,4_station_pedestrian_bridge_4.4,124,Test,[60-80[,12855,155,0,0,124,0,548,0
193,4_station_pedestrian_bridge_4.4,124,Test,[80-100[,2947,0,0,52,13,0,0,0
194,4_station_pedestrian_bridge_4.4,124,Test,[100-140[,5003,0,0,0,0,0,0,0
195,4_station_pedestrian_bridge_4.4,124,Test,[140-180[,1100,0,0,0,0,0,0,0
196,4_station_pedestrian_bridge_4.4,124,Test,[180-220[,2354,0,0,0,0,0,0,0
197,4_station_pedestrian_bridge_4.4,124,Test,[220-1000[,868,0,0,0,0,0,0,0
198,4_station_pedestrian_bridge_4.4,178,Test,[0-20[,122390,5428,0,621,4629,0,0,0
199,4_station_pedestrian_bridge_4.4,178,Test,[20-40[,41944,28,0,0,1605,0,0,0
200,4_station_pedestrian_bridge_4.4,178,Test,[40-60[,7166,287,0,0,340,0,0,0
201,4_station_pedestrian_bridge_4.4,178,Test,[60-80[,12797,150,0,0,136,0,585,0
202,4_station_pedestrian_bridge_4.4,178,Test,[80-100[,3096,0,0,54,17,0,0,0
203,4_station_pedestrian_bridge_4.4,178,Test,[100-140[,4913,0,0,0,0,0,0,0
204,4_station_pedestrian_bridge_4.4,178,Test,[140-180[,1129,0,0,0,0,0,0,0
205,4_station_pedestrian_bridge_4.4,178,Test,[180-220[,2299,0,0,0,0,0,0,0
206,4_station_pedestrian_bridge_4.4,178,Test,[220-1000[,800,0,0,0,0,0,0,0
207,4_station_pedestrian_bridge_4.4,142,Test,[0-20[,122789,5509,0,610,4584,0,0,0
208,4_station_pedestrian_bridge_4.4,142,Test,[20-40[,40983,12,0,0,1617,0,0,0
209,4_station_pedestrian_bridge_4.4,142,Test,[40-60[,7340,275,0,0,326,0,0,0
210,4_station_pedestrian_bridge_4.4,142,Test,[60-80[,12903,223,0,0,119,0,602,0
211,4_station_pedestrian_bridge_4.4,142,Test,[80-100[,2921,0,0,50,14,0,0,0
212,4_station_pedestrian_bridge_4.4,142,Test,[100-140[,4730,0,0,0,0,0,0,0
213,4_station_pedestrian_bridge_4.4,142,Test,[140-180[,1237,0,0,0,0,0,0,0
214,4_station_pedestrian_bridge_4.4,142,Test,[180-220[,2424,0,0,0,0,0,0,0
215,4_station_pedestrian_bridge_4.4,142,Test,[220-1000[,993,0,0,0,0,0,0,0
216,4_station_pedestrian_bridge_4.4,197,Test,[0-20[,122685,4123,0,595,4749,0,0,0
217,4_station_pedestrian_bridge_4.4,197,Test,[20-40[,42874,39,0,0,1725,0,0,0
218,4_station_pedestrian_bridge_4.4,197,Test,[40-60[,7213,274,0,0,333,0,0,0
219,4_station_pedestrian_bridge_4.4,197,Test,[60-80[,13229,42,0,0,139,0,531,0
220,4_station_pedestrian_bridge_4.4,197,Test,[80-100[,2797,0,0,40,11,0,0,0
221,4_station_pedestrian_bridge_4.4,197,Test,[100-140[,4725,0,0,0,0,0,0,0
222,4_station_pedestrian_bridge_4.4,197,Test,[140-180[,1220,0,0,0,0,0,0,0
223,4_station_pedestrian_bridge_4.4,197,Test,[180-220[,2300,0,0,0,0,0,0,0
224,4_station_pedestrian_bridge_4.4,197,Test,[220-1000[,871,0,0,0,0,0,0,0
225,4_station_pedestrian_bridge_4.4,154,Test,[0-20[,122904,4972,0,616,4583,0,0,0
226,4_station_pedestrian_bridge_4.4,154,Test,[20-40[,40888,13,0,0,1637,0,0,0
227,4_station_pedestrian_bridge_4.4,154,Test,[40-60[,7119,237,0,0,349,0,0,0
228,4_station_pedestrian_bridge_4.4,154,Test,[60-80[,13227,216,0,0,129,0,597,0
229,4_station_pedestrian_bridge_4.4,154,Test,[80-100[,3026,0,0,48,9,0,0,0
230,4_station_pedestrian_bridge_4.4,154,Test,[100-140[,4710,0,0,0,0,0,0,0
231,4_station_pedestrian_bridge_4.4,154,Test,[140-180[,1221,0,0,0,0,0,0,0
232,4_station_pedestrian_bridge_4.4,154,Test,[180-220[,2436,0,0,0,0,0,0,0
233,4_station_pedestrian_bridge_4.4,154,Test,[220-1000[,1051,0,0,0,0,0,0,0
234,4_station_pedestrian_bridge_4.4,111,Test,[0-20[,123433,3068,0,598,4524,0,0,0
235,4_station_pedestrian_bridge_4.4,111,Test,[20-40[,42636,11,0,0,1665,0,0,0
236,4_station_pedestrian_bridge_4.4,111,Test,[40-60[,7186,229,0,0,347,0,0,0
237,4_station_pedestrian_bridge_4.4,111,Test,[60-80[,13075,107,0,0,142,0,527,0
238,4_station_pedestrian_bridge_4.4,111,Test,[80-100[,2960,0,0,46,5,0,0,0
239,4_station_pedestrian_bridge_4.4,111,Test,[100-140[,4710,0,0,0,0,0,0,0
240,4_station_pedestrian_bridge_4.4,111,Test,[140-180[,1363,0,0,0,0,0,0,0
241,4_station_pedestrian_bridge_4.4,111,Test,[180-220[,2350,0,0,0,0,0,0,0
242,4_station_pedestrian_bridge_4.4,111,Test,[220-1000[,855,0,0,0,0,0,0,0
243,4_station_pedestrian_bridge_4.4,137,Test,[0-20[,123190,5106,0,620,4532,0,0,0
244,4_station_pedestrian_bridge_4.4,137,Test,[20-40[,41377,12,0,0,1671,0,0,0
245,4_station_pedestrian_bridge_4.4,137,Test,[40-60[,7049,261,0,0,362,0,0,0
246,4_station_pedestrian_bridge_4.4,137,Test,[60-80[,12756,227,0,0,144,0,541,0
247,4_station_pedestrian_bridge_4.4,137,Test,[80-100[,3105,0,0,51,11,0,0,0
248,4_station_pedestrian_bridge_4.4,137,Test,[100-140[,4864,0,0,0,0,0,0,0
249,4_station_pedestrian_bridge_4.4,137,Test,[140-180[,1236,0,0,0,0,0,0,0
250,4_station_pedestrian_bridge_4.4,137,Test,[180-220[,2234,0,0,0,0,0,0,0
251,4_station_pedestrian_bridge_4.4,137,Test,[220-1000[,848,0,0,0,0,0,0,0
252,4_station_pedestrian_bridge_4.4,132,Test,[0-20[,121258,5114,0,616,4571,0,0,0
253,4_station_pedestrian_bridge_4.4,132,Test,[20-40[,43507,12,0,0,1629,0,0,0
254,4_station_pedestrian_bridge_4.4,132,Test,[40-60[,7167,223,0,0,335,0,0,0
255,4_station_pedestrian_bridge_4.4,132,Test,[60-80[,12750,186,0,0,132,0,578,0
256,4_station_pedestrian_bridge_4.4,132,Test,[80-100[,3023,0,0,47,16,0,0,0
257,4_station_pedestrian_bridge_4.4,132,Test,[100-140[,4880,0,0,0,0,0,0,0
258,4_station_pedestrian_bridge_4.4,132,Test,[140-180[,1105,0,0,0,0,0,0,0
259,4_station_pedestrian_bridge_4.4,132,Test,[180-220[,2265,0,0,0,0,0,0,0
260,4_station_pedestrian_bridge_4.4,132,Test,[220-1000[,817,0,0,0,0,0,0,0
261,4_station_pedestrian_bridge_4.4,193,Test,[0-20[,122709,4477,0,593,4661,0,0,0
262,4_station_pedestrian_bridge_4.4,193,Test,[20-40[,42460,14,0,0,1621,0,0,0
263,4_station_pedestrian_bridge_4.4,193,Test,[40-60[,7087,256,0,0,314,0,0,0
264,4_station_pedestrian_bridge_4.4,193,Test,[60-80[,13213,59,0,0,129,0,572,0
265,4_station_pedestrian_bridge_4.4,193,Test,[80-100[,2846,0,0,50,18,0,0,0
266,4_station_pedestrian_bridge_4.4,193,Test,[100-140[,4897,0,0,0,0,0,0,0
267,4_station_pedestrian_bridge_4.4,193,Test,[140-180[,1152,0,0,0,0,0,0,0
268,4_station_pedestrian_bridge_4.4,193,Test,[180-220[,2308,0,0,0,0,0,0,0
269,4_station_pedestrian_bridge_4.4,193,Test,[220-1000[,845,0,0,0,0,0,0,0
270,4_station_pedestrian_bridge_4.4,167,Test,[0-20[,122518,5646,0,622,4571,0,0,0
271,4_station_pedestrian_bridge_4.4,167,Test,[20-40[,40879,20,0,0,1616,0,0,0
272,4_station_pedestrian_bridge_4.4,167,Test,[40-60[,7293,224,0,0,307,0,0,0
273,4_station_pedestrian_bridge_4.4,167,Test,[60-80[,12860,194,0,0,127,0,578,0
274,4_station_pedestrian_bridge_4.4,167,Test,[80-100[,3088,0,0,60,12,0,0,0
275,4_station_pedestrian_bridge_4.4,167,Test,[100-140[,4792,0,0,0,0,0,0,0
276,4_station_pedestrian_bridge_4.4,167,Test,[140-180[,1143,0,0,0,0,0,0,0
277,4_station_pedestrian_bridge_4.4,167,Test,[180-220[,2324,0,0,0,0,0,0,0
278,4_station_pedestrian_bridge_4.4,167,Test,[220-1000[,896,0,0,0,0,0,0,0
279,4_station_pedestrian_bridge_4.4,171,Test,[0-20[,122794,5651,0,601,4657,0,0,0
280,4_station_pedestrian_bridge_4.4,171,Test,[20-40[,41231,24,0,0,1666,0,0,0
281,4_station_pedestrian_bridge_4.4,171,Test,[40-60[,7350,248,0,0,326,0,0,0
282,4_station_pedestrian_bridge_4.4,171,Test,[60-80[,12954,197,0,0,127,0,550,0
283,4_station_pedestrian_bridge_4.4,171,Test,[80-100[,2763,0,0,52,16,0,0,0
284,4_station_pedestrian_bridge_4.4,171,Test,[100-140[,4698,0,0,0,0,0,0,0
285,4_station_pedestrian_bridge_4.4,171,Test,[140-180[,1248,0,0,0,0,0,0,0
286,4_station_pedestrian_bridge_4.4,171,Test,[180-220[,2262,0,0,0,0,0,0,0
287,4_station_pedestrian_bridge_4.4,171,Test,[220-1000[,835,0,0,0,0,0,0,0
288,4_station_pedestrian_bridge_4.4,177,Test,[0-20[,121908,5568,0,615,4672,0,0,0
289,4_station_pedestrian_bridge_4.4,177,Test,[20-40[,42153,19,0,0,1649,0,0,0
290,4_station_pedestrian_bridge_4.4,177,Test,[40-60[,7112,288,0,0,332,0,0,0
291,4_station_pedestrian_bridge_4.4,177,Test,[60-80[,13101,170,0,0,141,0,510,0
292,4_station_pedestrian_bridge_4.4,177,Test,[80-100[,2838,0,0,50,8,0,0,0
293,4_station_pedestrian_bridge_4.4,177,Test,[100-140[,4798,0,0,0,0,0,0,0
294,4_station_pedestrian_bridge_4.4,177,Test,[140-180[,1180,0,0,0,0,0,0,0
295,4_station_pedestrian_bridge_4.4,177,Test,[180-220[,2312,0,0,0,0,0,0,0
296,4_station_pedestrian_bridge_4.4,177,Test,[220-1000[,840,0,0,0,0,0,0,0
297,4_station_pedestrian_bridge_4.4,135,Test,[0-20[,122668,4836,0,613,4542,0,0,0
298,4_station_pedestrian_bridge_4.4,135,Test,[20-40[,42189,15,0,0,1769,0,0,0
299,4_station_pedestrian_bridge_4.4,135,Test,[40-60[,7338,241,0,0,327,0,0,0
300,4_station_pedestrian_bridge_4.4,135,Test,[60-80[,12804,186,0,0,133,0,570,0
